SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,260.81587318810,-49.70746721938,5949618638125873280,340.1385225843,-7.5732232374,1.1807,-2.434,-4.561,197,16.039110,1.249375,0.8,IC_4651, ,260.81588939326,-49.70744758174
2,260.75288323770,-49.73865361115,5949618363247960832,340.0895573911,-7.5566452592,1.0260,-2.638,-4.666,213,14.353561,0.878210,1.0,IC_4651,Gaia DR2 5949618363247960832,260.75290081234,-49.73863352143
3,260.63878754715,-49.73391616885,5949617877878364032,340.0521969346,-7.4927055903,1.0525,-2.598,-4.998,243,15.615285,1.153560,0.9,IC_4651, ,260.63880485361,-49.73389464968
4,260.54595444937,-49.72040340105,5949620596630803968,340.0298192831,-7.4353341937,0.9766,-1.684,-5.383,211,15.769872,1.170392,0.5,IC_4651, ,260.54596566414,-49.72038022424
5,260.72551413281,-49.70694332721,5949619217908272000,340.1062495851,-7.5243222079,1.0643,-2.248,-5.026,219,15.637034,1.123066,1.0,IC_4651,Gaia DR2 5949619217908272000,260.72552909945,-49.70692168749
6,260.71593533072,-49.69956602562,5949619217908299648,340.1089660647,-7.5150728610,1.1673,-2.783,-5.237,237,17.333990,1.702711,0.8,IC_4651, ,260.71595385644,-49.69954347742
7,260.24700170914,-49.82233501216,5949625711896654976,339.8357945059,-7.3321633612,0.8817,-2.037,-5.220,177,17.759937,1.762127,0.3,IC_4651, ,260.24701530331,-49.82231253716
8,260.60571830151,-49.75178773890,5949620321752851200,340.0252264266,-7.4848942567,1.0240,-1.483,-4.941,233,17.085627,1.486433,0.2,IC_4651, ,260.60572818409,-49.75176646515
9,260.45179958328,-49.59376198534,5949623822108877312,340.1015133684,-7.3140994876,1.1117,-2.519,-5.071,199,11.590877,0.822040,0.9,IC_4651, ,260.45181631522,-49.59374015187
10,260.70088862833,-49.78486964366,5949617401175040384,340.0319710114,-7.5543787057,1.1357,-2.399,-5.092,216,12.814982,0.715876,1.0,IC_4651,Gaia DR2 5949617401175040384,260.70090462596,-49.78484771977
11,260.34033837982,-49.76139188590,5949627017566782848,339.9207199837,-7.3479782633,0.9909,-2.411,-4.758,212,17.663660,2.081713,0.7,IC_4651, ,260.34035444969,-49.76137140007
12,260.78073008650,-49.72686603126,5949618565073169152,340.1095255265,-7.5650764270,0.9348,-2.486,-4.764,201,16.362616,1.356115,0.8,IC_4651, ,260.78074664448,-49.72684551959
