SlNo,RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_,GMag,BP-RP,PMemb,Cluster,SimbadName,_RA.icrs,_DE.icrs

1,102.01912417417,+39.22091161836,944483065240504064,176.6843865889,16.1535050414,1.7967,-3.673,-8.134,131,12.443222,0.695019,1.0,NGC_2281,Gaia DR2 944483065240504064,102.01914458727,+39.22094663975
2,102.88986983611,+39.47351124176,944545810418575488,176.7010520351,16.8725069391,1.7974,-2.945,-7.671,157,15.843757,1.522218,1.0,NGC_2281,Gaia DR2 944545810418575488,102.88988626254,+39.47354426968
3,102.60620065762,+39.56650179217,944596422313214720,176.5265204274,16.7033601671,1.8640,-2.733,-7.772,165,16.339184,1.734645,0.9,NGC_2281, ,102.60621592199,+39.56653525495
4,102.42439602242,+39.70867088213,944613597886791040,176.3345674265,16.6259129869,1.6719,-2.530,-7.514,132,17.369953,2.175997,0.7,NGC_2281, ,102.42441018207,+39.70870323407
5,102.39164438679,+39.40501119508,944573263849593472,176.6189160911,16.4896804999,1.7280,-3.386,-8.453,149,17.960222,2.392317,0.9,NGC_2281, ,102.39166325444,+39.40504758994
6,102.79146876183,+39.67065048529,944598037220882560,176.4803306136,16.8744113225,1.8382,-2.857,-7.654,141,12.993541,0.775237,1.0,NGC_2281,Gaia DR2 944598037220882560,102.79148474280,+39.67068344001
7,102.60897333875,+40.16092947162,944629442021671808,175.9500017293,16.9242363656,1.9950,-3.367,-8.370,142,16.962234,2.143464,1.0,NGC_2281,Gaia DR2 944629442021671808,102.60899230778,+40.16096550912
8,102.63459047576,+39.96515551850,944623154189559040,176.1478391902,16.8705820030,1.8772,-2.824,-7.476,150,15.373253,1.494601,1.0,NGC_2281,Gaia DR2 944623154189559040,102.63460633998,+39.96518770683
9,102.20768796576,+39.42232767576,944579925342997504,176.5468937144,16.3642772731,1.9421,-2.557,-7.975,129,14.789552,1.432414,1.0,NGC_2281,Gaia DR2 944579925342997504,102.20770221755,+39.42236201256
10,102.45909351425,+39.80191743674,944614461175767424,176.2544623042,16.6852154038,1.9028,-2.849,-7.941,153,14.566639,1.120639,1.0,NGC_2281,Gaia DR2 944614461175767424,102.45910948085,+39.80195162716
11,102.86219997326,+39.94763761674,944611162640902144,176.2317346485,17.0264871679,1.8489,-3.395,-8.539,105,17.874525,2.216661,0.6,NGC_2281, ,102.86221904027,+39.94767438188
12,102.40793425062,+39.53174257651,944576424945510528,176.5010880419,16.5484849189,1.8927,-2.818,-7.833,143,14.949043,1.222341,1.0,NGC_2281,Gaia DR2 944576424945510528,102.40794998185,+39.53177630193
13,101.55157697007,+39.75438959995,945262657641067136,176.0285137786,16.0206191595,1.7431,-2.926,-8.472,131,17.905872,2.313139,1.0,NGC_2281,Gaia DR2 945262657641067136,101.55159335688,+39.75442607662
14,101.81923744155,+40.83156848605,945471564850315136,175.0675827892,16.6134938584,1.7460,-3.146,-8.413,117,14.540086,1.145382,1.0,NGC_2281,Gaia DR2 945471564850315136,101.81925534356,+40.83160470869
15,101.81257203189,+40.84133146024,945471633569791744,175.0561691335,16.6124338115,1.6695,-2.680,-8.244,128,17.288074,2.428818,0.9,NGC_2281, ,101.81258728442,+40.84136695524
16,101.81970968280,+40.83768449914,945471564850314624,175.0617942838,16.6160950071,1.7799,-2.845,-8.305,135,10.738705,0.331547,1.0,NGC_2281,Gaia DR2 945471564850314624,101.81972587349,+40.83772025678
17,101.59546507691,+40.43159915912,945437067673034624,175.3884987430,16.3067418188,1.9306,-3.051,-8.219,159,17.735670,2.352938,1.0,NGC_2281,Gaia DR2 945437067673034624,101.59548233465,+40.43163454648
18,102.17281087297,+40.72973552776,945455617635072000,175.2697181664,16.8246162071,1.9845,-2.924,-8.609,126,12.409328,0.706504,1.0,NGC_2281,Gaia DR2 945455617635072000,102.17282748622,+40.72977259429
19,102.18804554046,+40.57707132057,945450601114067456,175.4224146547,16.7790972798,2.1371,-2.697,-8.310,124,15.533887,1.703936,1.0,NGC_2281,Gaia DR2 945450601114067456,102.18806082895,+40.57710709974
20,102.10942466206,+40.44020017553,945442251696626176,175.5321562181,16.6729785970,1.8494,-3.007,-8.249,126,16.639996,1.869894,1.0,NGC_2281,Gaia DR2 945442251696626176,102.10944167309,+40.44023569206
21,101.79578610275,+40.74985169161,945465242658462080,175.1398717046,16.5666622182,1.8715,-2.827,-8.279,121,15.691165,1.521436,1.0,NGC_2281,Gaia DR2 945465242658462080,101.79580216973,+40.74988733730
22,101.54491520719,+40.47235096349,945436689715913600,175.3341099459,16.2863672311,1.8833,-2.958,-8.162,159,12.891627,0.796826,1.0,NGC_2281,Gaia DR2 945436689715913600,101.54493194903,+40.47238610543
23,102.10365739471,+40.74894671537,945456584004370816,175.2308910258,16.7829877721,1.7804,-2.560,-8.354,132,16.712763,1.989707,0.9,NGC_2281, ,102.10367194403,+40.74898268398
24,102.01741161183,+40.78265267031,945468231955682560,175.1729939970,16.7347219397,1.9579,-2.960,-8.276,148,12.924549,0.826183,1.0,NGC_2281,Gaia DR2 945468231955682560,102.01742844301,+40.78268830309
25,101.78642300961,+40.74174617585,945465139579247872,175.1449712380,16.5570639723,1.9685,-2.858,-8.662,123,12.836734,0.809936,1.0,NGC_2281,Gaia DR2 945465139579247872,101.78643925080,+40.74178347057
26,101.92082002860,+40.90891933089,945473557715127552,175.0222867993,16.7134980515,1.9988,-3.071,-8.245,130,17.915913,2.436598,1.0,NGC_2281,Gaia DR2 945473557715127552,101.92083752426,+40.90895483019
27,101.17690756960,+39.97466781234,945329452972493056,175.7030904635,15.8381304912,1.8829,-3.117,-8.295,130,17.319760,2.102943,1.0,NGC_2281,Gaia DR2 945329452972493056,101.17692508222,+39.97470352692
28,101.53248241075,+40.46897844530,945436655356176768,175.3336692054,16.2763347512,1.9637,-3.004,-8.105,149,15.313626,1.580125,1.0,NGC_2281,Gaia DR2 945436655356176768,101.53249941209,+40.46901334183
29,101.52012351463,+40.46479810262,945436620996439296,175.3340287906,16.2660507088,2.0237,-2.856,-8.005,151,17.609184,2.490950,1.0,NGC_2281,Gaia DR2 945436620996439296,101.52013967735,+40.46483256859
30,101.82474269870,+40.68946439914,945464005707882496,175.2068709304,16.5645936767,1.8820,-3.192,-8.810,160,14.547215,1.258678,0.9,NGC_2281, ,101.82476082368,+40.68950233108
31,101.82297060016,+40.54964941987,945457924034198656,175.3417318839,16.5113374926,1.8627,-3.291,-8.187,135,16.554113,2.070957,1.0,NGC_2281,Gaia DR2 945457924034198656,101.82298924821,+40.54968466945
32,102.06497757130,+40.86702462316,945469675064682752,175.1049691562,16.7993121138,1.8336,-3.340,-8.354,129,14.207792,1.084852,1.0,NGC_2281,Gaia DR2 945469675064682752,102.06499658742,+40.86706059177
33,101.70700962744,+40.73059130598,945464933420822912,175.1324115912,16.4970616527,1.7422,-2.874,-8.301,130,17.274437,2.083509,0.9,NGC_2281, ,101.70702595682,+40.73062704640
34,101.75445636947,+40.67002556096,945463799549457408,175.2050077693,16.5078851796,1.8859,-2.719,-7.880,156,15.520556,1.438788,1.0,NGC_2281,Gaia DR2 945463799549457408,101.75447180413,+40.67005948874
35,101.67174209668,+40.42659386182,945433936639938944,175.4159975009,16.3587029139,2.0562,-2.553,-8.161,149,17.968178,2.303200,1.0,NGC_2281,Gaia DR2 945433936639938944,101.67175653645,+40.42662899946
36,102.11591972486,+40.81670395501,945468575553054592,175.1686718189,16.8165945585,1.9432,-2.954,-8.154,137,13.169520,0.844592,1.0,NGC_2281,Gaia DR2 945468575553054592,102.11593653054,+40.81673906251
37,101.73774445113,+40.08423228248,945413217718140928,175.7664082853,16.2771298681,1.8568,-2.782,-8.574,148,11.703029,0.572708,1.0,NGC_2281,Gaia DR2 945413217718140928,101.73776010671,+40.08426919831
38,101.80402526496,+39.72909133798,945352130400155264,176.1291043109,16.1908580049,1.7707,-2.874,-7.779,116,13.502646,0.871838,1.0,NGC_2281,Gaia DR2 945352130400155264,101.80404135464,+39.72912483090
39,101.71618149975,+40.26319823050,945419063170296576,175.5871048305,16.3289373981,1.9042,-2.708,-8.492,133,16.595850,1.857089,1.0,NGC_2281,Gaia DR2 945419063170296576,101.71619677914,+40.26323479328
40,102.35691534040,+40.53382203034,945402845373652480,175.5137740974,16.8824677914,1.9232,-3.126,-8.323,141,15.456041,1.424433,1.0,NGC_2281,Gaia DR2 945402845373652480,102.35693304932,+40.53385786548
41,101.99930676771,+40.84967025574,945469468906259328,175.1026746293,16.7467447078,1.9499,-2.770,-8.376,133,14.475366,1.146338,1.0,NGC_2281,Gaia DR2 945469468906259328,101.99932253443,+40.84970631907
42,102.36140236006,+40.50670312127,945402467416532480,175.5414406479,16.8756735563,2.0641,-3.036,-8.108,149,16.976690,1.998249,1.0,NGC_2281,Gaia DR2 945402467416532480,102.36141955217,+40.50673803071
